State,Municipality,Index_Value
Aguascalientes,Aguascalientes,113
Aguascalientes,Asientos,98
Aguascalientes,Calvillo,104
Aguascalientes,Cosío,98
Aguascalientes,Jesús María,112
Aguascalientes,Pabellón de Arteaga,109
Aguascalientes,Rincón de Romos,102
Aguascalientes,San José de Gracia,102
Aguascalientes,Tepezalá,98
Aguascalientes,El Llano,92
Aguascalientes,San Francisco de los Romo,103
Baja California,Ensenada,105
Baja California,Mexicali,104
Baja California,Tecate,103
Baja California,Tijuana,105
Baja California,Playas de Rosarito,104
Baja California,San Quintín,85
Baja California Sur,Comondú,106
Baja California Sur,Mulegé,103
Baja California Sur,La Paz,114
Baja California Sur,Los Cabos,106
Baja California Sur,Loreto,107
Campeche,Calkiní,89
Campeche,Campeche,109
Campeche,Carmen,107
Campeche,Champotón,89
Campeche,Hecelchakán,87
Campeche,Hopelchén,83
Campeche,Palizada,82
Campeche,Tenabo,83
Campeche,Escárcega,86
Campeche,Calakmul,82
Campeche,Candelaria,76
Campeche,Seybaplaya,95
Coahuila de Zaragoza,Abasolo,104
Coahuila de Zaragoza,Acuña,97
Coahuila de Zaragoza,Allende,105
Coahuila de Zaragoza,Arteaga,102
Coahuila de Zaragoza,Candela,99
Coahuila de Zaragoza,Castaños,101
Coahuila de Zaragoza,Cuatro Ciénegas,98
Coahuila de Zaragoza,Escobedo,91
Coahuila de Zaragoza,Francisco I. Madero,96
Coahuila de Zaragoza,Frontera,108
Coahuila de Zaragoza,General Cepeda,91
Coahuila de Zaragoza,Guerrero,94
Coahuila de Zaragoza,Hidalgo,96
Coahuila de Zaragoza,Jiménez,94
Coahuila de Zaragoza,Juárez,99
Coahuila de Zaragoza,Lamadrid,100
Coahuila de Zaragoza,Matamoros,92
Coahuila de Zaragoza,Monclova,112
Coahuila de Zaragoza,Morelos,101
Coahuila de Zaragoza,Múzquiz,100
Coahuila de Zaragoza,Nadadores,98
Coahuila de Zaragoza,Nava,102
Coahuila de Zaragoza,Ocampo,94
Coahuila de Zaragoza,Parras,94
