D_mnpio,d_estado,concatenadomnpioestado
Álvaro Obregón,Ciudad de México,"Álvaro Obregón , Ciudad de México"
Azcapotzalco,Ciudad de México,"Azcapotzalco , Ciudad de México"
Benito Juárez,Ciudad de México,"Benito Juárez , Ciudad de México"
Coyoacán,Ciudad de México,"Coyoacán , Ciudad de México"
Cuajimalpa de Morelos,Ciudad de México,"Cuajimalpa de Morelos , Ciudad de México"
Cuauhtémoc,Ciudad de México,"Cuauhtémoc , Ciudad de México"
Gustavo A. Madero,Ciudad de México,"Gustavo A. Madero , Ciudad de México"
Iztacalco,Ciudad de México,"Iztacalco , Ciudad de México"
Iztapalapa,Ciudad de México,"Iztapalapa , Ciudad de México"
La Magdalena Contreras,Ciudad de México,"La Magdalena Contreras , Ciudad de México"
Miguel Hidalgo,Ciudad de México,"Miguel Hidalgo , Ciudad de México"
Milpa Alta,Ciudad de México,"Milpa Alta , Ciudad de México"
Tláhuac,Ciudad de México,"Tláhuac , Ciudad de México"
Tlalpan,Ciudad de México,"Tlalpan , Ciudad de México"
Venustiano Carranza,Ciudad de México,"Venustiano Carranza , Ciudad de México"
Xochimilco,Ciudad de México,"Xochimilco , Ciudad de México"
Aguascalientes,Aguascalientes,"Aguascalientes , Aguascalientes"
San Francisco de los Romo,Aguascalientes,"San Francisco de los Romo , Aguascalientes"
El Llano,Aguascalientes,"El Llano , Aguascalientes"
Rincón de Romos,Aguascalientes,"Rincón de Romos , Aguascalientes"
Cosío,Aguascalientes,"Cosío , Aguascalientes"
San José de Gracia,Aguascalientes,"San José de Gracia , Aguascalientes"
Tepezalá,Aguascalientes,"Tepezalá , Aguascalientes"
Pabellón de Arteaga,Aguascalientes,"Pabellón de Arteaga , Aguascalientes"
Asientos,Aguascalientes,"Asientos , Aguascalientes"
Calvillo,Aguascalientes,"Calvillo , Aguascalientes"
Jesús María,Aguascalientes,"Jesús María , Aguascalientes"
Mexicali,Baja California,"Mexicali , Baja California"
Tecate,Baja California,"Tecate , Baja California"
Tijuana,Baja California,"Tijuana , Baja California"
Playas de Rosarito,Baja California,"Playas de Rosarito , Baja California"
Ensenada,Baja California,"Ensenada , Baja California"
La Paz,Baja California Sur,"La Paz , Baja California Sur"
Los Cabos,Baja California Sur,"Los Cabos , Baja California Sur"
