ESTADO,NODENTISTAS,%SHARE,POBLACION,LAT,LONG,POBLACIONK,EXTENSIONKM,EXTENSIONKMK,POBLA/km2,DENTISTAS/km2,DENTISTAS/POBLACION,PODERADQUISITIVO
MEXICO,7944,12.534317902111141,15175862,19.4968732,-99.72326729999999,15175.862,22351,223.51,678.9791060802648,2.8135699899295066,1910.3552366565962,10300
CIUDAD DE MEXICO,7318,11.546593455142162,8851080,19.4326077,-99.133208,8851.08,1495,14.95,5920.454849498327,0.20429078983328777,1209.4943973763322,11700
JALISCO,4222,6.661617596011234,7350682,20.6595382,-103.3494376,7350.682,78588,785.88,93.53440728864457,18.613927048792043,1741.0426338228328,11200
MICHOACAN DE OCAMPO,3934,6.207201237022311,4351037,19.5665192,-101.7068294,4351.037,58599,585.99,74.25104523967985,14.895526182003051,1106.0083884087442,10000
VERACRUZ DE IGNACIO DE LA LLAVE,3275,5.167408248919184,7643194,19.2601605,-96.57833869999999,7643.194,71826,718.26,106.41263609277978,21.931603053435115,2333.7996946564886,9000
GUANAJUATO,3234,5.1027170311464545,5486372,21.0190145,-101.2573586,5486.372,30608,306.08,179.24634082592786,9.46444032158318,1696.4662956091527,10500
PUEBLA,3171,5.003313452617627,5779829,19.0414398,-98.2062727,5779.829,34306,343.06,168.47866262461378,10.818669189530116,1822.7149164301482,9300
BAJA CALIFORNIA,2661,4.198617816908076,3155070,30.8406338,-115.2837585,3155.07,71450,714.5,44.15773268019594,26.850807966929725,1185.6708004509583,10500
NUEVO LEON,2529,3.9903436523714855,4653458,25.592172,-99.99619469999999,4653.458,64156,641.56,72.53348089032983,25.36812969553183,1840.0387504942664,10200
OAXACA,1938,3.0578434156962984,3801962,17.0731842,-96.7265889,3801.962,93757,937.57,40.551233507898075,48.37822497420021,1961.796697626419,8000
SINALOA,1860,2.9347723184701318,2767761,25.1721091,-107.4795173,2767.761,58200,582.0,47.55603092783505,31.29032258064516,1488.0435483870967,10000
TAMAULIPAS,1794,2.8306352362018368,3268554,24.26694,-98.8362755,3268.554,80249,802.49,40.73015240065297,44.731884057971016,1821.9364548494984,9800
CHIHUAHUA,1649,2.6018492221275524,3406465,28.6329957,-106.0691004,3406.465,247455,2474.55,13.76599785819644,150.0636749545179,2065.77622801698,10300
SAN LUIS POTOSI,1582,2.4961343052794347,2585518,22.1564699,-100.9855409,2585.518,61137,611.37,42.29056054435121,38.645385587863466,1634.3350189633375,10200
HIDALGO,1439,2.2705039603647954,2665018,26.1003547,-98.2630684,2665.018,20813,208.13,128.04583673665496,14.463516330785268,1851.9930507296733,9600
COAHUILA DE ZARAGOZA,1433,2.2610369528858594,2748391,27.058676,-101.7068294,2748.391,151562,1515.62,18.133773637191382,105.76552686671319,1917.9281228192604,10700
CHIAPAS,1393,2.1979235696929535,4796580,16.7569318,-93.12923529999999,4796.58,73311,733.11,65.42783484061054,52.62814070351759,3443.345297918162,8100
QUERETARO,1269,2.0022720817949446,1827937,20.5887932,-100.3898881,1827.937,11699,116.99,156.24728609282846,9.21907013396375,1440.4546887312845,10700
SONORA,1235,1.9486257060809746,2662480,29.2972247,-110.3308814,2662.48,179355,1793.55,14.844749240333417,145.22672064777328,2155.8542510121456,10200
GUERRERO,1119,1.7655968948215468,3388768,17.4391926,-99.54509739999999,3388.768,63596,635.96,53.28586703566262,56.83288650580876,3028.38963360143,8500
MORELOS,1107,1.7466628798636752,1777227,18.6813049,-99.1013498,1777.227,4879,48.79,364.26050420168065,4.407407407407407,1605.4444444444443,10200
ZACATECAS,1011,1.5951907602007005,1490668,22.7708555,-102.5832426,1490.668,75284,752.84,19.80059507996387,74.4648862512364,1474.4490603363006,10500
YUCATAN,997,1.5731010760831836,1955577,20.7098786,-89.0943377,1955.577,39524,395.24,49.47821576763486,39.64292878635908,1961.4613841524574,9900
AGUASCALIENTES,839,1.3238032124712045,1184996,21.8852562,-102.2915677,1184.996,5616,56.16,211.00356125356126,6.693682955899881,1412.3909415971395,11100
NAYARIT,774,1.2212439647827322,1084979,21.7513844,-104.8454619,1084.979,27857,278.57,38.94816383673763,35.99095607235142,1401.78165374677,10000
DURANGO,748,1.180220265707343,1632934,24.0277202,-104.6531759,1632.934,123317,1233.17,13.241759043765255,164.86229946524065,2183.066844919786,10100
TLAXCALA,727,1.1470857395310676,1169936,19.318154,-98.2374954,1169.936,4016,40.16,291.3187250996016,5.524071526822558,1609.2654745529574,9200
TABASCO,652,1.0287481460443688,2238603,17.8409173,-92.6189273,2238.603,24731,247.31,90.51809469896082,37.93098159509202,3433.4401840490796,8900
QUINTANA ROO,482,0.760516267474518,1325578,19.1817393,-88.4791376,1325.578,44705,447.05,29.651672072475115,92.74896265560166,2750.161825726141,10300
COLIMA,362,0.5711761178957998,650555,19.2452342,-103.7240868,650.555,5627,56.27,115.61311533676916,15.544198895027625,1797.1132596685084,10700
BAJA CALIFORNIA SUR,341,0.5380415917195241,637026,26.0444446,-111.6660725,637.026,73909,739.09,8.619058572027765,216.74193548387098,1868.1114369501465,10800
CAMPECHE,339,0.5348859225598788,822441,19.8301251,-90.5349087,822.441,57507,575.07,14.301580677134957,169.63716814159292,2426.079646017699,9900
