nom_estab,codigo_act,nombre_act,per_ocu,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,latitud,longitud,fecha_alta
0PTIDENTBELLA,621211,Consultorios dentales del sector privado,0 a 5 personas,21100,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.66307166,-115.4889415,2010-07
6TA & E 6TA & E DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52510191,-117.0294329,2010-07
6TA & E DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52510191,-117.0294329,2019-11
7 CLINICA DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52988321,-117.0335552,2019-11
ABBA DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71692687,-114.7320169,2014-12
ABC DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.54049551,-117.0310071,2019-11
ADAME DENTAL,621211,Consultorios dentales del sector privado,6 a 10 personas,21400,2,BAJA CALIFORNIA,3,Tecate,1,Tecate,32.57619813,-116.6263607,2010-07
ADVANCE DENTAL CARE,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71589031,-114.7300732,2019-11
ADVANCED DENTAL CLINIC,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52491749,-117.0201366,2019-11
ADVANCED DENTAL CLINIC,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52491749,-117.0201366,2019-11
ADVANCED DENTAL SOLUCIONS,621211,Consultorios dentales del sector privado,0 a 5 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52540974,-117.0232676,2013-07
ADVANCED SMILE DENTRITY,621211,Consultorios dentales del sector privado,11 a 30 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.51986788,-117.0115584,2019-11
AFFINIS CENTRO MEDICO Y DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22106,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.49986906,-116.9684637,2014-12
AKAMEL DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22204,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.51392936,-116.8665632,2010-07
ALAMO DENTAL CLINIC,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71566136,-114.7290666,2014-12
ALAMO DENTAL CLINIC,621211,Consultorios dentales del sector privado,11 a 30 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71634271,-114.7285461,2010-07
ALCALÃ DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21100,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.66501761,-115.4859342,2014-12
ALES DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22456,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52528955,-116.9337671,2019-11
ALFA DENTAL CARE,621211,Consultorios dentales del sector privado,0 a 5 personas,22890,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.85010564,-116.6033316,2014-12
ALGODONES DENTAL CARE,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71711569,-114.7298845,2014-12
ALGODONES DENTAL OFFICE,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71673148,-114.7282498,2019-11
ALL DENTAL,621211,Consultorios dentales del sector privado,6 a 10 personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53965129,-117.0276611,2019-11
ALL DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71589725,-114.7299825,2014-12
ALL DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22707,2,BAJA CALIFORNIA,5,Playas de Rosarito,1,Playas de Rosarito,32.36570654,-117.0540691,2019-11
ALL DENTISTRY,621211,Consultorios dentales del sector privado,6 a 10 personas,21100,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.66247599,-115.4835573,2019-11
ALMACEN DE ODONTOLOGIA GENERAL CD. PATRICIA ROSANA PIÃ‘ERA RAMIREZ,621211,Consultorios dentales del sector privado,0 a 5 personas,21280,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.63702453,-115.4494407,2014-12
ALOHA DENTAL,621211,Consultorios dentales del sector privado,6 a 10 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.71719715,-114.7284755,2019-11
ALPHA DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53149632,-117.0407505,2014-12
AMERICAN DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.5205263,-117.0122857,2010-07
AMERICAS DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22040,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52252523,-117.0306976,2019-11
AMM DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21100,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.66584632,-115.4746099,2010-07
ANA DENTALO,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.7172453,-114.7278529,2019-11
ANDA ODONTOLOGIA INTEGRAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22880,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.85739822,-116.616765,2019-11
ANETTE GALINDO PUERTO,621211,Consultorios dentales del sector privado,0 a 5 personas,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.87179845,-116.625189,2019-11
ANGELEPOLIS DENTAL CARE,621211,Consultorios dentales del sector privado,6 a 10 personas,22666,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.44560323,-117.0370307,2019-11
ANGELES GRUPO DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21720,2,BAJA CALIFORNIA,2,Mexicali,185,Ciudad Guadalupe Victoria (KilÃ³metro Cuarenta y Tres),32.28781909,-115.1006648,2014-12
AO DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21200,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.65748816,-115.4504263,2019-11
AOB DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,21210,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.66097108,-115.4293441,2014-12
APOSTOLES DE LA SONRISA,621211,Consultorios dentales del sector privado,0 a 5 personas,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53687842,-117.0247101,2019-11
APPLE DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.53779456,-117.0261066,2014-12
AQUADENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52813585,-117.0266851,2014-12
AQUOS DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22223,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.48644134,-116.9212224,2014-12
ART DENTAL,621211,Consultorios dentales del sector privado,0 a 5 personas,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.52116001,-117.0126878,2014-12
ART DENTAL GROUP,621211,Consultorios dentales del sector privado,0 a 5 personas,21970,2,BAJA CALIFORNIA,2,Mexicali,111,Vicente Guerrero (Algodones),32.7177031,-114.7291515,2014-12
